,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
5114831,1645385129,a08a03,30.532012939453125,-97.41571762982537,38.73049317970077,140.3893117599734,4.55168,,False,False,False,,906.7800000000001,,1645385128.431,1645385128.431
5114832,1645385130,a08a03,30.53173828125,-97.41539450252758,39.66560071666027,136.57655005518376,4.22656,,False,False,False,,914.4000000000001,922.0200000000001,1645385129.394,1645385129.394
5114833,1645385131,a08a03,30.53173828125,-97.41539450252758,40.419063319880735,132.42085249971657,3.90144,,False,False,False,,914.4000000000001,922.0200000000001,1645385129.394,1645385130.523
5114834,1645385132,a08a03,30.53173828125,-97.41539450252758,40.419063319880735,132.42085249971657,3.90144,,False,False,False,,914.4000000000001,922.0200000000001,1645385129.394,1645385130.523
5114835,1645385133,a08a03,30.53173828125,-97.41539450252758,40.419063319880735,132.42085249971657,3.90144,,False,False,False,,914.4000000000001,922.0200000000001,1645385129.394,1645385130.523
5114836,1645385134,a08a03,30.530819650423727,-97.41401367187501,43.2744959966761,118.393019421383,3.2512000000000003,,False,False,False,,929.6400000000001,944.8800000000001,1645385133.381,1645385133.537
5114837,1645385135,a08a03,30.530819650423727,-97.41401367187501,43.2744959966761,118.393019421383,3.2512000000000003,,False,False,False,,929.6400000000001,944.8800000000001,1645385133.381,1645385133.537
5114838,1645385136,a08a03,30.53045654296875,-97.41291719324448,43.2744959966761,118.393019421383,3.2512000000000003,,False,False,False,,937.26,944.8800000000001,1645385135.938,1645385135.938
5114839,1645385137,a08a03,30.53045654296875,-97.41291719324448,43.2744959966761,118.393019421383,3.2512000000000003,N13391  ,False,False,False,,944.88,944.8800000000001,1645385135.938,1645385136.877
5114840,1645385138,a08a03,30.530307575807733,-97.41220092773438,47.429393287875826,102.52880770915152,2.60096,N13391  ,False,False,False,,944.88,960.12,1645385137.502,1645385137.502
5114841,1645385139,a08a03,30.530307575807733,-97.41220092773438,48.46160780404282,99.16234704572172,2.27584,N13391  ,False,False,False,,944.88,952.5,1645385137.502,1645385138.314
5114842,1645385140,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114843,1645385141,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114844,1645385142,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114845,1645385143,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114846,1645385144,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114847,1645385145,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114848,1645385146,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114849,1645385147,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114850,1645385148,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114851,1645385149,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114852,1645385150,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114853,1645385151,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114854,1645385152,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114855,1645385153,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
5114856,1645385154,a08a03,30.530136108398438,-97.41092457490811,50.030836154998326,94.12759170251174,2.27584,N13391  ,False,False,False,,944.88,960.12,1645385139.948,1645385139.948
